name,price,code,actual_category
Transponder AIS Maré Magnum,33122.52,1,Eletrônicos
Transponder Furuno Marlin,13998.15,2,Eletrônicos
Radar Furuno Pulse Leviathan,9024.19,3,Eletrônicos
Rádio AIS Hydro Tidal Zen,3381.88,4,Eletrônicos
Piloto Automático Furuno Storm,23669.01,5,Eletrônicos
Transponder AIS Vector,11820.21,6,Eletrônicos
Radar AIS Zen,19518.77,7,Eletrônicos
GPS AIS Zen,4984.15,8,Eletrônicos
Transponder AIS Titan Pulse,39705.5,9,Eletrônicos
Piloto Automático Simrad Titan Flux Magnum,32033.04,10,Eletrônicos
GPS Furuno Swift Leviathan Poseidon,36231.91,11,Eletrônicos
GPS AIS Drift Flux Vox,2726.18,12,Eletrônicos
Radar Simrad Boost,7747.1,13,Eletrônicos
Rádio Furuno Zen Swift,35811.08,14,Eletrônicos
Radar Garmin Tidal Thrust,27899.76,15,Eletrônicos
Sonda Garmin Axis,30005.99,16,Eletrônicos
Rádio AIS Oceanic Pulse,14038.78,17,Eletrônicos
Rádio Simrad Axis,26572.45,18,Eletrônicos
Sonda Lowrance Tidal Storm Vox,16432.35,19,Eletrônicos
Radar AIS Marlin,30833.44,20,Eletrônicos
GPS AIS Nautic Thrust,8734.56,21,Eletrônicos
Transponder Furuno Force Ion,39452.86,22,Eletrônicos
Piloto Automático Furuno Torque Peak,11178.63,23,Eletrônicos
GPS AIS Orca Marlin Velocity,23232.18,24,Eletrônicos
Rádio Lowrance Nitro Thrust Barracuda,12126.46,25,Eletrônicos
Piloto Automático Furuno Core Boost Flux,17283.18,26,Eletrônicos
GPS Garmin Vortex Maré Drift,16511.45,27,Eletrônicos
Piloto Automático AIS Core,14258.56,28,Eletrônicos
Rádio Simrad Orca,36510.34,29,Eletrônicos
Transponder AIS Boost,32247.87,30,Eletrônicos
Transponder Furuno Pulse Axis,8283.11,31,Eletrônicos
Sonda AIS Impulse Oceanic Zenith,12502.46,32,Eletrônicos
Transponder Garmin Drift Vortex Marlin,6715.77,33,Eletrônicos
Transponder AIS Helix Torque,4917.53,34,Eletrônicos
Radar Furuno Swift,11005.53,35,Eletrônicos
Radar Lowrance Aqua Pulse,22601.39,36,Eletrônicos
GPS Lowrance Evo Storm Drift,6067.71,37,Eletrônicos
Rádio AIS Force,26461.14,38,Eletrônicos
GPS Furuno Vector,29632.83,39,Eletrônicos
Sonda Furuno Maré Tidal,14184.04,40,Eletrônicos
GPS Simrad Flow Pulse,10600.0,41,Eletrônicos
Transponder Lowrance Axis,5992.84,42,Eletrônicos
Sonda AIS Barracuda,35096.86,43,Eletrônicos
GPS Simrad Zen Hydra Peak,10806.84,44,Eletrônicos
GPS Furuno Current,9903.71,45,Eletrônicos
Sonda AIS Magnum Boost,4983.77,46,Eletrônicos
Rádio Simrad Tidal Aqua,6122.96,47,Eletrônicos
GPS Furuno Magnum Drift,14736.35,48,Eletrônicos
Sonda Furuno Swift,13264.25,49,Eletrônicos
Piloto Automático Simrad Poseidon Magnum,11275.99,50,Eletrônicos
Motor Diesel Tohatsu Evo Zenith 16HP,64158.99,51,Propulsão
Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,52,Propulsão
Motor Elétrico Torqeedo Zen Titan Hydra 129HP,53675.01,53,Propulsão
Motor de Popa Yamaha Evo Dash 155HP,121534.82,54,Propulsão
Motor Diesel Volvo Flow Oceanic 259HP,109987.2,55,Propulsão
Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,56,Propulsão
Motor de Popa Honda Vector Kinetic 174HP,118790.57,57,Propulsão
Motor de Popa Tohatsu Ion Core Nautic 53HP,108824.59,58,Propulsão
Motor Diesel Yanmar Hydro Magnum Boost 267HP,87166.14,59,Propulsão
Motor de Popa Honda Velocity Drift 258HP,108751.09,60,Propulsão
Motor Diesel Honda Prime 84HP,28018.63,61,Propulsão
Motor Diesel Yanmar Velocity 37HP,102221.97,62,Propulsão
Motor Elétrico Torqeedo Ion Orca Vox 186HP,139957.67,63,Propulsão
Motor Elétrico Yamaha Swift Drift Current 265HP,111505.55,64,Propulsão
Motor de Popa Torqeedo Nautic Swift 223HP,25557.7,65,Propulsão
Motor de Popa Tohatsu Poseidon Helix Prime 135HP,12571.63,66,Propulsão
Motor de Popa Yamaha Mako 108HP,85789.05,67,Propulsão
Motor de Popa Honda Ion Vox Prime 163HP,66897.1,68,Propulsão
Motor de Popa Torqeedo Ultra Impulse 292HP,45265.02,69,Propulsão
Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,70,Propulsão
Motor Elétrico Torqeedo Pulse 300HP,130174.06,71,Propulsão
Motor de Popa Volvo Hydro Dash 256HP,99664.64,72,Propulsão
Motor de Popa Torqeedo Core Hydra Flux 162HP,143159.93,73,Propulsão
Motor de Popa Honda Torque 228HP,86558.56,74,Propulsão
Motor Diesel Volvo Flow Leviathan Maré 187HP,32768.38,75,Propulsão
